Campaign Number,Start Date,End Date,Channel,Channel_id,CampaignType,Campaign_type_id,Client,Client_id,Address,City,State,Zip,Email,Contact,Gender,Age,Audience_id,Target Location,Location_id,Views,Likes,Clicks,Conversions,Expense,Total Sales,Executive,Executive_id
C001,2023-12-18,2024-01-10,YouTube,CH001,Sign Up,CT001,Lopez PLC,CL 001,0806 Watson Drive Suite 662,Port Andrea,DE,42578-2286,zmcintyre@bauer.info,Barbara Walker,Adults,18-40,AU001,USA,LO001,23458.0,7718.0,1056.0,702.0,13961.03,0.0,Lauren Riggs,EX001
C002,2023-10-12,2023-11-09,Email,CH002,Sales,CT002,"Weaver, Garner and Ramos",CL 002,2933 Ortiz Overpass Suite 099,South Douglasburgh,KY,52632-7557,oscott@gmail.com,Melinda Johnston,Female,60+,AU002,LATAM,LO002,92422.0,8075.0,1360.0,182.0,43804.31,50878.17,Brandon Townsend Jr.,EX002
C003,2023-05-18,2023-06-04,TikTok,CH003,Sales,CT002,Salinas-Chavez,CL 003,53637 Bonnie Walk Suite 961,South Adrianaport,IA,49560,richard84@hotmail.com,Chelsea Hoffman,Male,40-60,AU003,Canada,LO003,45934.0,2446.0,1655.0,669.0,36007.47,76729.41,Thomas Ryan,EX003
C004,2023-02-23,2023-03-09,Instagram,CH004,Sales,CT002,"Russell, Wilson and Rogers",CL 004,27907 Deborah Hill Suite 235,Abigailbury,CO,58408,michael78@yahoo.com,Michael Howard,Female,18-40,AU004,Europe,LO004,30391.0,1700.0,2669.0,243.0,37425.85,42784.94,Thomas Ryan,EX003
C005,2023-11-20,2023-12-11,Instagram,CH004,Sales,CT002,White Ltd,CL 005,172 Angela Crescent Apt. 306,North Laura,HI,69094-7497,jeremy56@gmail.com,Nathan Weber,Male,60+,AU005,Canada,LO003,52042.0,191.0,4242.0,753.0,48590.34,64163.39,Jesus Rivera,EX004
C006,2023-09-19,2023-10-05,YouTube,CH001,Sales,CT002,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Male,60+,AU005,USA,LO001,40365.0,7775.0,1499.0,945.0,26693.82,51897.34,Jesus Rivera,EX004
C007,2023-06-19,2023-07-09,Instagram,CH004,Sales,CT002,Salinas-Chavez,CL 003,53637 Bonnie Walk Suite 961,South Adrianaport,IA,49560,richard84@hotmail.com,Chelsea Hoffman,Seniors,60+,AU006,Japan,LO005,51437.0,4435.0,97.0,498.0,4274.45,62156.23,Thomas Ryan,EX003
C008,2023-07-08,2023-07-20,Facebook,CH005,Sales,CT002,Weaver-Hoover,CL 007,050 Andrews Green,North Renee,VT,22014-1131,jacqueline32@dominguez.biz,Kathy Mahoney,Adults,40-60,AU007,UK,LO006,63951.0,4627.0,1858.0,798.0,7863.2,59610.64,Brandon Townsend Jr.,EX002
C009,2023-04-24,2023-05-17,Email,CH002,Sign Up,CT001,White Ltd,CL 005,172 Angela Crescent Apt. 306,North Laura,HI,69094-7497,jeremy56@gmail.com,Nathan Weber,Adults,18-40,AU001,Australia,LO007,24495.0,8354.0,4208.0,527.0,14404.95,0.0,Jesus Rivera,EX004
C010,2023-06-05,2023-06-07,Facebook,CH005,Sales,CT002,Ross Group,CL 008,2397 Allison Knolls Suite 213,Jacksonside,WV,58803-3895,kristopher99@romero.org,Lauren Graham,Male,60+,AU005,USA,LO001,49877.0,8180.0,905.0,937.0,26039.88,30846.65,Brandon Townsend Jr.,EX002
C011,2023-09-23,2023-10-04,YouTube,CH001,Sales,CT002,"Noble, Mcneil and Cooper",CL 009,36911 Gay Streets Suite 795,Brentmouth,LA,62951-4782,sarahparks@yahoo.com,Mark Garcia,Male,60+,AU005,Australia,LO007,76265.0,894.0,2198.0,19.0,13777.14,49566.61,Wesley Simon,EX005
C012,2023-12-24,2024-01-21,Facebook,CH005,Sales,CT002,"Reed, Galloway and Buck",CL 010,49317 Vincent Vista Suite 462,Port Nathan,CA,23364-0905,larrygraham@lucas.com,Andrea Simmons,Male,60+,AU005,LATAM,LO002,12061.0,5983.0,3720.0,193.0,21295.14,86986.64,Wesley Simon,EX005
C013,2023-05-22,2023-06-03,Email,CH002,Sales,CT002,Ramirez-Wilson,CL 011,6802 Scott Ways,Jasonbury,NM,94299-7873,robertellis@simpson-gutierrez.com,Christine Nguyen,Female,18-40,AU004,USA,LO001,46002.0,7059.0,1447.0,763.0,35410.1,107001.41,Becky Brown,EX006
C014,2023-04-27,2023-05-10,TikTok,CH003,Sales,CT002,Smith-Bailey,CL 012,055 Rebecca Ramp,Edwardsland,WY,72139-7625,bakerpaul@holland.com,Sharon Reeves,Adults,40-60,AU007,USA,LO001,53589.0,8009.0,3579.0,381.0,42260.22,49510.11,Michael Camacho,EX007
C015,2023-02-13,2023-02-23,YouTube,CH001,Sign Up,CT001,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Adults,40-60,AU007,Japan,LO005,52012.0,2398.0,311.0,106.0,44445.65,0.0,Jesus Rivera,EX004
C016,2023-11-02,2023-11-20,Facebook,CH005,Sales,CT002,Lopez PLC,CL 001,0806 Watson Drive Suite 662,Port Andrea,DE,42578-2286,zmcintyre@bauer.info,Barbara Walker,Male,60+,AU005,Canada,LO003,46834.0,6492.0,3250.0,699.0,10339.5,56481.65,Lauren Riggs,EX001
C017,2023-10-23,2023-11-16,TikTok,CH003,Sales,CT002,Lewis PLC,CL 013,621 Woodard Manors Apt. 208,Port Amy,ME,05157-2612,beth20@gmail.com,Diana Love,Seniors,60+,AU006,India,LO008,87131.0,3958.0,4546.0,221.0,18477.84,71443.96,Thomas Ryan,EX003
C018,2023-03-28,2023-04-10,Facebook,CH005,Sign Up,CT001,Patterson and Sons,CL 006,0171 Patricia Street Suite 265,Frankmouth,MS,50700-0717,nataliemartinez@hotmail.com,Christopher Riggs,Seniors,60+,AU006,Japan,LO005,72204.0,6080.0,1948.0,237.0,33988.25,0.0,Jesus Rivera,EX004
C019,2023-12-04,2023-12-26,TikTok,CH003,Sales,CT002,"Russell, Wilson and Rogers",CL 004,27907 Deborah Hill Suite 235,Abigailbury,CO,58408,michael78@yahoo.com,Michael Howard,Teens,13-19,AU008,LATAM,LO002,18166.0,2849.0,4847.0,354.0,27654.57,24945.03,Thomas Ryan,EX003
C020,2023-11-11,2023-11-16,Email,CH002,Sales,CT002,Schneider PLC,CL 014,872 Davila Ville Apt. 985,Millerland,GA,42888,beasleycraig@yahoo.com,Stephen Murphy,Male,18-40,AU009,Australia,LO007,27973.0,9607.0,2657.0,890.0,10983.11,46378.34,Lauren Riggs,EX001
C021,2023-12-27,2024-01-11,Email,CH002,Sales,CT002,Smith-Bailey,CL 012,055 Rebecca Ramp,Edwardsland,WY,72139-7625,bakerpaul@holland.com,Sharon Reeves,Male,40-60,AU003,USA,LO001,22897.0,6256.0,2286.0,531.0,43219.64,23153.0,Michael Camacho,EX007
C022,2023-10-01,2023-10-28,Facebook,CH005,Sales,CT002,Jackson Inc,CL 015,96299 Miller Spur,Jensenfurt,CA,97794-3156,jeremy09@yahoo.com,Karen Rivers,Male,18-40,AU009,Europe,LO004,62876.0,4035.0,3722.0,260.0,30201.78,72382.13,Thomas Ryan,EX003
C023,2023-06-19,2023-06-24,Facebook,CH005,Sales,CT002,"Hunt, Woods and Saunders",CL 016,48531 Garcia Walk,Gonzalesville,WY,31844,rramsey@warren.com,April Brewer,Teens,13-19,AU008,Japan,LO005,26583.0,9185.0,1413.0,581.0,49463.69,34599.14,Melissa Haynes,EX008
C024,2023-07-06,2023-07-20,Instagram,CH004,Sales,CT002,Walter Ltd,CL 017,591 Gallegos Shore,East Jennifer,VT,67675,gravessusan@gonzalez.com,Sarah Warren,Male,18-40,AU009,Canada,LO003,1215.0,1832.0,3794.0,425.0,2983.58,75439.75,Aaron Faulkner,EX009
C025,2023-07-15,2023-08-13,YouTube,CH001,Sales,CT002,Lopez PLC,CL 001,0806 Watson Drive Suite 662,Port Andrea,DE,42578-2286,zmcintyre@bauer.info,Barbara Walker,Female,40-60,AU010,Australia,LO007,79276.0,2404.0,3408.0,208.0,12205.58,71938.03,Lauren Riggs,EX001
C026,2023-08-06,2023-08-09,TikTok,CH003,Sales,CT002,Riley PLC,CL 018,699 Anderson Glen,Parkerside,AZ,15616-1374,jennifer09@york.org,Gary Reed,Male,18-40,AU009,LATAM,LO002,63453.0,3788.0,2515.0,492.0,29386.34,65377.76,Kyle Serrano,EX010
C027,2023-09-27,2023-10-02,TikTok,CH003,Sign Up,CT001,Roberts-Brown,CL 019,725 Peter Lights Apt. 639,South Janet,WV,83873-6339,nguyendustin@gmail.com,Samantha Hudson,Male,40-60,AU003,Japan,LO005,52218.0,3238.0,2450.0,997.0,41018.12,0.0,Thomas Ryan,EX003
C028,2023-11-30,2023-12-07,YouTube,CH001,Sign Up,CT001,Nunez-Bowers,CL 020,6821 Walker Via Suite 228,Lake Jessica,NE,05036-1909,michelle44@yahoo.com,James Woods,Female,60+,AU002,LATAM,LO002,42299.0,9326.0,2552.0,763.0,29155.51,0.0,Wesley Simon,EX005
